Discount(%off),Frequency,Monetary
0.0,1,12999.0
15.110000000000001,1,399.0
0.0,1,1049.0
0.0,2,9240.0
55.790000000000006,4,11999.0
60.64000000000001,2,1180.0
0.0,3,19797.0
44.02,1,2788.0
49.7,1,498.0
43.669999999999995,1,890.0
0.0,1,288.0
40.459999999999994,4,12909.0
62.260000000000005,2,528.0
4.800000000000004,1,218.0
20.75,1,1680.0
0.0,1,5690.0
68.58,1,798.0
50.0,1,2280.0
44.74,1,473.0
0.0,1,1690.0
23.209999999999997,1,2150.0
0.0,2,1278.0
63.019999999999996,1,699.0
41.26,1,699.0
31.669999999999998,1,205.0
0.0,1,580.0
15.000000000000002,1,13890.0
18.42,16,34110.0
17.54,1,1880.0
34.89,1,390.0
29.259999999999998,2,16801.0
15.980000000000006,2,857.0
5.069999999999997,2,2733.0
60.0,1,680.0
36.33,3,5984.0
8.579999999999998,1,15980.0
50.17,1,289.0
0.0,1,13600.0
28.090000000000003,1,1280.0
14.31,1,599.0
15.259999999999996,5,1011.0
33.47,2,3180.0
4.0000000000000036,1,480.0
58.67,1,2480.0
23.26,1,990.0
34.64,1,1517.0
55.96,1,2299.0
8.860000000000001,1,638.0
46.550000000000004,1,898.0
44.17,4,8306.0
34.78,1,1950.0
28.03,2,439.0
29.500000000000004,2,478.0
44.989999999999995,9,7660.0
34.64,1,300.0
15.039999999999997,1,7035.0
0.0,1,1790.0
0.0,1,3400.0
47.699999999999996,2,4498.0
26.810000000000002,2,2487.0
19.679999999999996,1,22410.0
28.12,1,1380.0
37.74999999999999,1,249.0
0.0,1,2788.0
21.540000000000003,1,1490.0
0.0,1,1890.0
49.5,1,1111.0
30.42,3,1997.0
34.34,1,650.0
52.980000000000004,1,9480.0
38.61,2,3180.0
52.86,2,3960.0
25.19,1,594.0
0.0,1,580.0
76.46,4,18597.0
20.46,4,5137.0
77.86,2,398.0
76.88000000000001,7,7770.0
18.569999999999997,1,570.0
23.67,7,26776.0
0.0,2,1138.0
33.39,1,3990.0
33.5,1,798.0
9.999999999999998,1,1305.0
23.440000000000005,3,18030.0
0.0,1,2390.0
24.2,1,1212.0
3.400000000000003,3,25646.0
0.0,1,571.0
63.17999999999999,1,950.0
49.5,1,1111.0
64.13,1,990.0
0.0,1,2841.0
38.190000000000005,1,1780.0
35.57,1,3840.0
69.83,2,1798.0
0.0,1,24900.0
51.78,4,2324.0
40.080000000000005,3,8970.0
0.0,1,390.0
0.0,1,690.0
49.419999999999995,1,303.0
6.369999999999997,2,4406.0
29.159999999999997,1,1205.0
20.020000000000003,1,7990.0
54.29999999999999,2,11380.0
64.96,1,2190.0
0.0,2,68400.0
42.2,4,15952.0
11.240000000000006,2,9435.0
67.22,1,649.0
0.0,1,430.0
0.0,2,47390.0
0.0,1,545.0
53.6,1,399.0
0.0,1,545.0
40.04,1,599.0
0.0,1,8999.0
35.25,1,900.0
0.5600000000000049,1,15900.0
0.0,1,16500.0
30.630000000000003,6,5923.0
26.1,1,4641.0
68.77,1,499.0
0.0,1,6599.0
56.84,2,587.0
16.569999999999997,3,13344.0
0.0,1,7990.0
26.649999999999995,1,4680.0
41.49,2,1850.0
60.0,1,7240.0
5.259999999999998,1,1980.0
61.870000000000005,1,2899.0
3.280000000000005,2,1178.0
4.8799999999999955,3,975.0
27.61,1,999.0
0.0,3,16740.0
39.019999999999996,1,2799.0
0.0,1,1790.0
55.03,1,899.0
0.0,2,3984.0
0.0,1,450.0
25.049999999999994,2,3440.0
16.569999999999997,1,1500.0
0.0,1,32900.0
1.4800000000000035,2,13279.0
0.0,1,269.0
22.4,2,2328.0
5.800000000000005,2,4870.0
8.350000000000001,2,10980.0
28.62,3,3148.0
47.49,5,2631.0
7.669999999999999,3,5126.0
30.789999999999996,2,3779.0
27.61,1,999.0
0.0,1,899.0
0.0,2,300.0
19.999999999999996,1,4160.0
0.0,1,4820.0
0.0,1,599.0
29.900000000000006,1,1388.0
66.75999999999999,1,9954.0
57.72999999999999,5,3296.0
48.07,1,363.0
34.64,1,300.0
0.0,1,21700.0
3.049999999999997,2,3180.0
45.599999999999994,1,4080.0
34.419999999999995,4,4630.0
11.980000000000002,2,889.0
33.42,2,4794.0
15.649999999999997,2,2480.0
9.389999999999999,2,5880.0
16.690000000000005,1,649.0
25.0,1,1935.0
63.68000000000001,1,799.0
71.53,1,597.0
3.8100000000000023,3,1009.0
0.0,1,4888.0
19.230000000000004,1,16880.0
9.58,7,8094.0
0.0,1,399.0
44.99999999999999,2,1819.0
16.569999999999997,1,730.0
44.56,3,2528.0
39.54,1,3011.0
29.32,1,417.0
24.3,2,779.0
26.849999999999994,2,1580.0
9.999999999999998,3,1170.0
14.949999999999996,1,3198.0
0.0,1,8888.0
7.920000000000005,1,12799.0
19.999999999999996,1,3040.0
0.0,2,776.0
22.88,3,1618.0
0.0,1,4000.0
60.519999999999996,1,199.0
41.779999999999994,1,6980.0
0.0,1,6595.0
76.0,1,2592.0
0.0,2,1800.0
49.160000000000004,3,4423.0
24.319999999999997,1,10588.0
20.05,1,957.0
33.03,1,663.0
15.690000000000005,1,860.0
0.0,8,111992.0
45.57,2,2656.0
-2.7800000000000047,5,14870.0
58.77,2,3958.0
61.85000000000001,1,839.0
49.029999999999994,3,3743.0
20.199999999999996,1,399.0
66.38999999999999,2,369.0
5.5899999999999945,1,1690.0
20.009999999999994,3,3597.0
44.99999999999999,1,990.0
22.560000000000002,1,999.0
0.0,1,15000.0
0.0,1,7599.0
4.430000000000001,5,10895.0
21.47,1,2890.0
25.260000000000005,4,3847.0
9.870000000000001,2,5299.0
0.0,1,890.0
0.0,1,4690.0
23.98,1,599.0
35.0,1,650.0
17.42,1,1280.0
0.0,1,3999.0
8.330000000000004,2,1100.0
66.78,1,597.0
19.999999999999996,1,960.0
62.78,3,3409.0
61.5,1,2772.0
32.95,1,999.0
12.09,3,2808.0
0.0,2,22100.0
50.849999999999994,1,491.0
36.63999999999999,2,709.0
40.769999999999996,1,3080.0
52.269999999999996,1,611.0
29.590000000000003,1,690.0
37.739999999999995,1,1120.0
20.49,2,1358.0
1.21,1,32580.0
60.42000000000001,1,1330.0
26.919999999999998,2,2337.0
41.15,1,429.0
38.75999999999999,1,790.0
71.07,1,2892.0
50.13000000000001,3,597.0
9.379999999999999,2,2900.0
14.570000000000006,1,299.0
37.970000000000006,1,980.0
57.50999999999999,1,1699.0
0.0,1,22080.0
29.75,2,1700.0
50.75000000000001,1,1960.0
57.550000000000004,1,827.0
45.489999999999995,3,8040.0
0.0,2,7089.0
23.49,1,2280.0
54.64,1,499.0
9.999999999999998,1,5940.0
66.53,1,2611.0
3.090000000000004,2,3139.0
10.029999999999994,1,359.0
0.0,1,1590.0
0.0,3,1575.0
39.82,2,2996.0
59.24,4,27524.0
9.099999999999998,1,599.0
34.39,1,1299.0
0.0,1,6599.0
